File Name,Actor,File Path,Pitch Variation,Speaking Rate,Percent Pause Time,Emotion
03-01-02-02-02-01-19,19,/home/agarwal.aditi/mental_health/RAVDESS-nosil/Actor_19/03-01-02-02-02-01-19.wav,3.7275586,65.15218010958235,74.3756786102063,02
03-01-05-02-01-01-19,19,/home/agarwal.aditi/mental_health/RAVDESS-nosil/Actor_19/03-01-05-02-01-01-19.wav,3.4663243,75.55445954950653,48.45127171996978,05
03-01-08-01-01-02-19,19,/home/agarwal.aditi/mental_health/RAVDESS-nosil/Actor_19/03-01-08-01-01-02-19.wav,3.6423576,84.82113931283097,57.93044953350297,08
03-01-06-02-01-01-19,19,/home/agarwal.aditi/mental_health/RAVDESS-nosil/Actor_19/03-01-06-02-01-01-19.wav,3.6564393,,48.475371383893666,06
03-01-04-01-01-01-19,19,/home/agarwal.aditi/mental_health/RAVDESS-nosil/Actor_19/03-01-04-01-01-01-19.wav,2.9643593,87.29124359712665,69.59557753855105,04
03-01-06-02-02-02-19,19,/home/agarwal.aditi/mental_health/RAVDESS-nosil/Actor_19/03-01-06-02-02-02-19.wav,2.9159307,74.30608948723638,31.359920733217734,06
03-01-08-01-02-02-19,19,/home/agarwal.aditi/mental_health/RAVDESS-nosil/Actor_19/03-01-08-01-02-02-19.wav,2.6347947,,66.38436482084691,08
03-01-07-02-01-02-19,19,/home/agarwal.aditi/mental_health/RAVDESS-nosil/Actor_19/03-01-07-02-01-02-19.wav,4.0153522,56.90507522139631,39.33990895295903,07
03-01-07-01-01-01-19,19,/home/agarwal.aditi/mental_health/RAVDESS-nosil/Actor_19/03-01-07-01-01-01-19.wav,2.7349942,55.75803336769809,67.9135687732342,07
03-01-01-01-02-01-19,19,/home/agarwal.aditi/mental_health/RAVDESS-nosil/Actor_19/03-01-01-01-02-01-19.wav,2.5417182,107.8921078921079,60.29367695534912,01
03-01-08-01-02-01-19,19,/home/agarwal.aditi/mental_health/RAVDESS-nosil/Actor_19/03-01-08-01-02-01-19.wav,2.2013395,87.71751710694633,62.35380116959064,08
03-01-08-02-02-01-19,19,/home/agarwal.aditi/mental_health/RAVDESS-nosil/Actor_19/03-01-08-02-02-01-19.wav,2.0667365,129.76647184531012,44.1458140253321,08
03-01-03-02-02-01-19,19,/home/agarwal.aditi/mental_health/RAVDESS-nosil/Actor_19/03-01-03-02-02-01-19.wav,3.2224817,68.11376891457871,45.27702089009991,03
03-01-06-01-02-02-19,19,/home/agarwal.aditi/mental_health/RAVDESS-nosil/Actor_19/03-01-06-01-02-02-19.wav,2.3969207,84.820639688991,54.255018377155785,06
03-01-03-02-02-02-19,19,/home/agarwal.aditi/mental_health/RAVDESS-nosil/Actor_19/03-01-03-02-02-02-19.wav,2.7934463,89.91008991008992,49.375624375624376,03
03-01-07-01-02-01-19,19,/home/agarwal.aditi/mental_health/RAVDESS-nosil/Actor_19/03-01-07-01-02-01-19.wav,2.6883185,14.385614385614385,59.578038839606805,07
03-01-04-01-02-01-19,19,/home/agarwal.aditi/mental_health/RAVDESS-nosil/Actor_19/03-01-04-01-02-01-19.wav,3.142837,94.6421999053578,64.03785488958991,04
03-01-08-02-01-01-19,19,/home/agarwal.aditi/mental_health/RAVDESS-nosil/Actor_19/03-01-08-02-01-01-19.wav,3.0226173,87.71707183358122,46.345029239766085,08
03-01-05-02-02-02-19,19,/home/agarwal.aditi/mental_health/RAVDESS-nosil/Actor_19/03-01-05-02-02-02-19.wav,3.294553,87.71707183358122,43.78654970760234,05
03-01-08-02-01-02-19,19,/home/agarwal.aditi/mental_health/RAVDESS-nosil/Actor_19/03-01-08-02-01-02-19.wav,3.626803,77.62001230780288,48.167313497197064,08
03-01-02-02-01-01-19,19,/home/agarwal.aditi/mental_health/RAVDESS-nosil/Actor_19/03-01-02-02-01-01-19.wav,4.1410213,67.09689443887893,54.46208901811676,02
03-01-04-01-01-02-19,19,/home/agarwal.aditi/mental_health/RAVDESS-nosil/Actor_19/03-01-04-01-01-02-19.wav,3.231157,81.73644537280902,100.0,04
03-01-07-02-01-01-19,19,/home/agarwal.aditi/mental_health/RAVDESS-nosil/Actor_19/03-01-07-02-01-01-19.wav,3.7034264,74.92488000312187,52.75754422476587,07
03-01-04-02-02-01-19,19,/home/agarwal.aditi/mental_health/RAVDESS-nosil/Actor_19/03-01-04-02-02-01-19.wav,2.7026167,105.77605837271369,54.892741698501325,04
03-01-05-02-02-01-19,19,/home/agarwal.aditi/mental_health/RAVDESS-nosil/Actor_19/03-01-05-02-02-01-19.wav,3.7148097,82.9939291477753,42.047026279391424,05
03-01-04-01-02-02-19,19,/home/agarwal.aditi/mental_health/RAVDESS-nosil/Actor_19/03-01-04-01-02-02-19.wav,3.052637,98.08373444737082,76.73024523160763,04
03-01-06-01-02-01-19,19,/home/agarwal.aditi/mental_health/RAVDESS-nosil/Actor_19/03-01-06-01-02-01-19.wav,3.7108176,95.4796359838878,51.88328912466843,06
03-01-07-02-02-01-19,19,/home/agarwal.aditi/mental_health/RAVDESS-nosil/Actor_19/03-01-07-02-02-01-19.wav,3.1346045,73.39605411260007,37.55351681957186,07
03-01-03-01-02-02-19,19,/home/agarwal.aditi/mental_health/RAVDESS-nosil/Actor_19/03-01-03-01-02-02-19.wav,2.107674,108.98151476737365,59.582198001816536,03
03-01-05-01-01-01-19,19,/home/agarwal.aditi/mental_health/RAVDESS-nosil/Actor_19/03-01-05-01-01-01-19.wav,2.666225,95.4796359838878,52.3342175066313,05
03-01-06-02-01-02-19,19,/home/agarwal.aditi/mental_health/RAVDESS-nosil/Actor_19/03-01-06-02-01-02-19.wav,3.2360315,,41.68382521162206,06
03-01-05-01-01-02-19,19,/home/agarwal.aditi/mental_health/RAVDESS-nosil/Actor_19/03-01-05-01-01-02-19.wav,3.1656444,97.19987850015188,53.48272138228942,05
03-01-02-01-02-01-19,19,/home/agarwal.aditi/mental_health/RAVDESS-nosil/Actor_19/03-01-02-01-02-01-19.wav,2.6006556,107.8921078921079,73.62900809109979,02
03-01-01-01-02-02-19,19,/home/agarwal.aditi/mental_health/RAVDESS-nosil/Actor_19/03-01-01-01-02-02-19.wav,2.9799936,108.98220209639375,59.52164698758704,01
03-01-03-01-01-02-19,19,/home/agarwal.aditi/mental_health/RAVDESS-nosil/Actor_19/03-01-03-01-01-02-19.wav,3.1358018,113.39985825017719,54.40064794816415,03
03-01-03-01-02-01-19,19,/home/agarwal.aditi/mental_health/RAVDESS-nosil/Actor_19/03-01-03-01-02-01-19.wav,1.9632918,110.09384735946787,67.58409785932722,03
03-01-07-01-02-02-19,19,/home/agarwal.aditi/mental_health/RAVDESS-nosil/Actor_19/03-01-07-01-02-02-19.wav,3.587574,91.43389297789818,53.035306070612144,07
03-01-05-01-02-01-19,19,/home/agarwal.aditi/mental_health/RAVDESS-nosil/Actor_19/03-01-05-01-02-01-19.wav,3.6168792,,61.82258552830759,05
03-01-03-02-01-02-19,19,/home/agarwal.aditi/mental_health/RAVDESS-nosil/Actor_19/03-01-03-02-01-02-19.wav,2.8599339,94.6424072471547,41.32492113564668,03
03-01-01-01-01-02-19,19,/home/agarwal.aditi/mental_health/RAVDESS-nosil/Actor_19/03-01-01-01-01-02-19.wav,2.5450656,111.22912040166072,58.51096694470188,01
03-01-02-01-01-01-19,19,/home/agarwal.aditi/mental_health/RAVDESS-nosil/Actor_19/03-01-02-01-01-01-19.wav,3.1993868,98.08373444737082,100.0,02
03-01-04-02-01-01-19,19,/home/agarwal.aditi/mental_health/RAVDESS-nosil/Actor_19/03-01-04-02-01-01-19.wav,1.9866432,59.940059940059946,47.002997002997006,04
03-01-08-02-02-02-19,19,/home/agarwal.aditi/mental_health/RAVDESS-nosil/Actor_19/03-01-08-02-02-02-19.wav,2.4791582,,56.513761467889914,08
03-01-07-01-01-02-19,19,/home/agarwal.aditi/mental_health/RAVDESS-nosil/Actor_19/03-01-07-01-01-02-19.wav,3.4435582,62.00695855868269,60.25217031831335,07
03-01-06-02-02-01-19,19,/home/agarwal.aditi/mental_health/RAVDESS-nosil/Actor_19/03-01-06-02-02-01-19.wav,2.476543,84.02821947704103,50.67226890756302,06
03-01-08-01-01-01-19,19,/home/agarwal.aditi/mental_health/RAVDESS-nosil/Actor_19/03-01-08-01-01-01-19.wav,3.236901,96.33234659575535,55.84693604495584,08
03-01-03-01-01-01-19,19,/home/agarwal.aditi/mental_health/RAVDESS-nosil/Actor_19/03-01-03-01-01-01-19.wav,4.151092,98.98381202240884,55.26532856750068,03
03-01-02-02-02-02-19,19,/home/agarwal.aditi/mental_health/RAVDESS-nosil/Actor_19/03-01-02-02-02-02-19.wav,3.1246254,83.63745486578317,61.96561338289963,02
03-01-01-01-01-01-19,19,/home/agarwal.aditi/mental_health/RAVDESS-nosil/Actor_19/03-01-01-01-01-01-19.wav,2.4568253,106.82360504939355,60.80118694362018,01
03-01-06-01-01-01-19,19,/home/agarwal.aditi/mental_health/RAVDESS-nosil/Actor_19/03-01-06-01-01-01-19.wav,3.7479293,81.0003543765504,52.26781857451404,06
03-01-02-01-01-02-19,19,/home/agarwal.aditi/mental_health/RAVDESS-nosil/Actor_19/03-01-02-01-01-02-19.wav,2.3204997,98.08373444737082,100.0,02
03-01-05-02-01-02-19,19,/home/agarwal.aditi/mental_health/RAVDESS-nosil/Actor_19/03-01-05-02-01-02-19.wav,3.4718256,62.4376707280059,39.18834547346514,05
03-01-02-01-02-02-19,19,/home/agarwal.aditi/mental_health/RAVDESS-nosil/Actor_19/03-01-02-01-02-02-19.wav,2.5110943,103.74266056698247,90.23054755043228,02
03-01-02-02-01-02-19,19,/home/agarwal.aditi/mental_health/RAVDESS-nosil/Actor_19/03-01-02-02-01-02-19.wav,2.6885886,74.30570605901111,54.99133019568987,02
03-01-05-01-02-02-19,19,/home/agarwal.aditi/mental_health/RAVDESS-nosil/Actor_19/03-01-05-01-02-02-19.wav,2.450764,100.83386337244926,53.36134453781513,05
03-01-03-02-01-01-19,19,/home/agarwal.aditi/mental_health/RAVDESS-nosil/Actor_19/03-01-03-02-01-01-19.wav,2.4694328,79.56636331990651,54.11140583554377,03
03-01-04-02-02-02-19,19,/home/agarwal.aditi/mental_health/RAVDESS-nosil/Actor_19/03-01-04-02-02-02-19.wav,1.9205215,96.33180956628387,49.504950495049506,04
03-01-06-01-01-02-19,19,/home/agarwal.aditi/mental_health/RAVDESS-nosil/Actor_19/03-01-06-01-01-02-19.wav,2.6393347,102.75438846867418,59.6175799086758,06
03-01-07-02-02-02-19,19,/home/agarwal.aditi/mental_health/RAVDESS-nosil/Actor_19/03-01-07-02-02-02-19.wav,2.646032,36.45000569531339,43.76265694613204,07
03-01-04-02-01-02-19,19,/home/agarwal.aditi/mental_health/RAVDESS-nosil/Actor_19/03-01-04-02-01-02-19.wav,2.7060993,80.99989875012656,52.402807775377966,04
03-01-02-02-02-02-01,01,/home/agarwal.aditi/mental_health/RAVDESS-nosil/Actor_01/03-01-02-02-02-02-01.wav,4.7589445,89.91008991008992,70.07992007992007,02
03-01-02-02-01-01-01,01,/home/agarwal.aditi/mental_health/RAVDESS-nosil/Actor_01/03-01-02-02-01-01-01.wav,4.648035,97.19987850015188,84.1792656587473,02
03-01-04-02-02-02-01,01,/home/agarwal.aditi/mental_health/RAVDESS-nosil/Actor_01/03-01-04-02-02-02-01.wav,4.3524528,96.33234659575535,52.34145036125234,04
03-01-07-02-02-01-01,01,/home/agarwal.aditi/mental_health/RAVDESS-nosil/Actor_01/03-01-07-02-02-01-01.wav,2.3032353,74.30570605901111,48.47659152836265,07
03-01-04-02-01-01-01,01,/home/agarwal.aditi/mental_health/RAVDESS-nosil/Actor_01/03-01-04-02-01-01-01.wav,3.5953488,94.6424072471547,55.83596214511041,04
03-01-01-01-01-01-01,01,/home/agarwal.aditi/mental_health/RAVDESS-nosil/Actor_01/03-01-01-01-01-01-01.wav,3.557836,108.98220209639375,63.245534362700575,01
03-01-01-01-01-02-01,01,/home/agarwal.aditi/mental_health/RAVDESS-nosil/Actor_01/03-01-01-01-01-02-01.wav,4.4460883,107.8921078921079,62.99071021875936,01
03-01-03-01-01-01-01,01,/home/agarwal.aditi/mental_health/RAVDESS-nosil/Actor_01/03-01-03-01-01-01-01.wav,4.212024,103.74203773856766,57.31988472622478,03
03-01-03-01-02-02-01,01,/home/agarwal.aditi/mental_health/RAVDESS-nosil/Actor_01/03-01-03-01-02-02-01.wav,3.5250356,97.19987850015188,54.23866090712743,03
03-01-07-01-02-01-01,01,/home/agarwal.aditi/mental_health/RAVDESS-nosil/Actor_01/03-01-07-01-02-01-01.wav,4.866548,76.84631271112724,57.27459016393443,07
03-01-05-02-01-02-01,01,/home/agarwal.aditi/mental_health/RAVDESS-nosil/Actor_01/03-01-05-02-01-02-01.wav,3.9243414,68.63352557075449,34.5001143902997,05
03-01-08-01-01-01-01,01,/home/agarwal.aditi/mental_health/RAVDESS-nosil/Actor_01/03-01-08-01-01-01-01.wav,5.4673457,105.77670586362886,60.94622392007053,08
03-01-08-02-02-02-01,01,/home/agarwal.aditi/mental_health/RAVDESS-nosil/Actor_01/03-01-08-02-02-02-01.wav,3.4285054,110.09384735946787,59.755351681957194,08
03-01-08-01-01-02-01,01,/home/agarwal.aditi/mental_health/RAVDESS-nosil/Actor_01/03-01-08-01-01-02-01.wav,5.4798326,110.0945487907439,62.90519877675841,08
03-01-08-01-02-01-01,01,/home/agarwal.aditi/mental_health/RAVDESS-nosil/Actor_01/03-01-08-01-02-01-01.wav,5.116768,101.78476762678918,56.884365281311844,08
