start,end,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,PHQ8_Score,participant_ID
0 days,0 days 00:10:42.930068027,32.724728,0.12137369,30.962532,32.91981,35.06387,4.1013374,263.19016,404.4067,70.98959,173.44635,0.20533319,0.7395497,0.06985677,0.16136438,0.3276252,0.25776842,3.4167047,2.217991,2.478748,1.8341988,0.058404945,1.0484811,38.449947,0.2749453,-14.482725,-0.8200938,9.654411,1.5836941,-13.994443,-0.8568078,0.027928634,2.1965618,1.1940483,0.80938804,6.987227,0.63361746,1.027213,8.104747,23.609278,0.44616306,618.51025,0.29874998,1470.8038,0.14590533,-76.50199,-1.2138401,1588.0356,0.15403537,1173.4587,0.28187224,-79.99361,-1.0738093,2583.3184,0.1210106,981.9765,0.35309696,-85.72731,-0.95240486,-13.782678,-0.48372018,26.132053,0.31663233,0.11900405,0.20766024,-0.026721386,-0.5262752,0.07985811,0.7916328,44.039143,0.16937627,-14.793719,-0.91025937,6.516114,2.6355162,-17.411177,-0.71858495,-7.9051156,16.002638,0.08908638,-0.011818156,0.018787446,2.5878465,1.5590652,0.31641,0.25304073,0.18322,0.21896657,-38.345585,0.0,303
0 days,0 days 00:06:02.600090703,34.051987,0.1363338,32.397556,34.154083,36.92204,4.5244827,230.31111,341.42307,124.771774,259.13666,0.17530067,0.7855825,0.06262309,0.13087526,0.26378992,0.20116684,2.7872198,2.0991628,1.7764117,1.4995154,0.04442301,1.2385434,38.145325,0.2316483,-16.797052,-0.7432,8.52969,1.7337238,-12.973798,-0.9149017,0.02713018,2.332593,1.0414193,0.8915009,7.9830422,0.61164373,2.871606,3.4085724,23.151367,0.5032251,635.5641,0.27944452,1466.1309,0.14878303,-84.351875,-1.129731,1624.7083,0.14602706,1149.6425,0.29562664,-86.78886,-1.0140918,2616.1514,0.10662631,970.5725,0.35866123,-91.55107,-0.9196847,-14.3132,-0.46652123,24.813768,0.33212832,0.12262299,0.18958901,-0.026732728,-0.5297657,0.060759354,1.016013,43.43183,0.13758284,-17.069786,-0.8493407,4.939563,3.3723001,-16.037876,-0.8106921,-8.098006,15.603586,0.08888954,-0.0132197095,0.018838773,2.0814905,2.037544,0.28967434,0.28091183,0.19195369,0.21668577,-39.966507,6.0,304
0 days,0 days 00:18:38.489478458,23.803143,0.17343234,21.51421,23.79973,26.125832,4.611622,240.88828,319.90372,120.215225,161.0596,0.6045557,0.70176035,0.22232458,0.49598348,0.90166605,0.67934144,6.974126,5.548408,3.737405,3.2583008,0.43554944,0.9069919,50.00006,0.10034856,-10.970947,-0.9513866,2.8894799,5.4259973,-8.117886,-1.4043139,0.045816157,1.8718711,1.4979904,0.5888198,0.912983,4.242839,1.7542346,6.221678,25.18335,0.4560775,531.7778,0.3547062,1465.7007,0.13123675,-65.01334,-1.3962125,1478.4803,0.15932773,1173.5796,0.19924553,-71.46595,-1.1936657,2468.6284,0.123495325,1042.1534,0.2960938,-79.36398,-1.0081177,-15.611632,-0.37631193,29.881454,0.24171738,0.08434025,0.3007297,-0.028667348,-0.44109604,0.5208835,0.79192984,50.771126,0.096547164,-10.039491,-1.1045588,1.2833977,12.987893,-7.7599964,-1.6278083,-14.226113,27.137182,0.07794812,-0.02279163,0.26080018,1.010807,0.8961537,0.19643998,0.26679918,0.10722999,0.0938383,-22.787334,7.0,305
0 days,0 days 00:14:03.785396825,33.17418,0.17301884,31.027594,33.424118,36.662342,5.6347485,290.93658,413.96878,131.56815,220.5962,0.80895895,0.6556047,0.34210184,0.6777282,1.2201165,0.8780147,10.410176,6.4602566,5.687722,3.7966244,0.55227876,0.85534906,44.733368,0.12646694,-17.090546,-0.85481626,4.1298666,3.5759099,-15.637294,-0.74740225,0.0358692,2.0266862,1.3144728,0.59761596,5.6202517,0.87421936,1.1137413,11.179919,24.928946,0.5465317,703.50006,0.2588813,1414.299,0.14858925,-46.653786,-1.7225889,1688.6477,0.13013595,1071.1543,0.2833417,-52.239784,-1.4096178,2711.4146,0.11086307,954.15393,0.32688174,-59.78512,-1.170368,-15.740106,-0.46456966,26.514332,0.33712676,0.11400457,0.22738062,-0.032374635,-0.43668318,0.635107,0.76341444,44.97723,0.12286731,-17.034142,-0.9005155,2.7128263,5.614896,-16.762476,-0.7149137,-12.561674,21.819,0.09059985,-0.024340358,0.25002828,2.2462168,1.1879165,0.34175,0.44678026,0.098170005,0.09820769,-20.29977,4.0,307
0 days,0 days 00:04:45.850566893,19.779667,0.20334873,17.129812,19.038483,21.638266,4.5084534,235.67105,355.29147,76.51678,132.64755,0.19367653,0.8488626,0.041470982,0.14796598,0.3373819,0.29591092,3.5818887,2.518285,2.785959,2.022917,0.06653438,1.0960506,34.078545,0.4252424,-11.616008,-1.0282961,13.121507,1.19358,-5.455778,-2.4893417,0.030149227,2.0020368,1.5598655,0.81009346,0.9003613,3.515204,1.6914492,3.9796848,18.446138,0.4661314,484.69482,0.4138217,1268.2516,0.1610918,-90.780426,-1.1072525,1452.3002,0.15112022,949.11346,0.29437673,-95.343575,-1.0027807,2442.1926,0.09393585,873.3021,0.36004308,-99.26083,-0.92619175,-10.910489,-0.5035181,21.56269,0.33478037,0.08787305,0.28755912,-0.018373659,-0.7187069,0.09818584,0.73654884,42.922134,0.21669011,-14.873638,-0.78698885,14.122086,1.2577935,-7.3721824,-1.8715643,-6.4969983,14.973497,0.059260983,-0.0059827263,0.030933531,2.819173,2.5846953,0.19382633,0.17042987,0.17841808,0.19380161,-38.447227,4.0,310
0 days,0 days 00:05:13.900045351,22.0147,0.21437728,18.560118,21.443901,24.802195,6.242077,298.83075,463.75272,95.6854,217.99036,0.21121074,0.9299543,0.03009416,0.16237889,0.3594791,0.32938495,4.565813,2.9632115,3.5462668,2.6531792,0.10002952,1.3877528,34.019394,0.53557456,-4.2719526,-2.6077554,13.966951,1.1394134,-4.0248857,-3.6162946,0.025610382,1.8444484,1.4752456,0.8565851,2.5640526,1.5295072,2.2298517,4.0824366,26.612581,0.3661496,501.17786,0.35973832,1316.7816,0.16853076,-95.974304,-1.0308374,1485.8575,0.15754975,985.6954,0.27920574,-103.110565,-0.88425165,2525.6187,0.10143483,891.05096,0.3890539,-107.221725,-0.8127244,-16.49633,-0.42905685,26.920475,0.3246694,0.07828914,0.40211472,-0.026066072,-0.60500145,0.1472942,0.9616557,46.150124,0.2261467,-4.1671677,-2.853922,15.321772,1.0626462,-4.4283695,-3.8369844,-7.4244094,15.770607,0.06551843,-0.0032787593,0.057724904,2.9568605,2.7304952,0.17781286,0.18507373,0.17276569,0.6795641,-33.631615,2.0,312
0 days,0 days 00:04:27.844897959,23.021563,0.12665513,21.278072,22.3947,24.162718,2.8846455,187.58833,269.4573,50.106525,85.49854,0.13123971,0.83925486,0.02927285,0.100990176,0.22707464,0.19780178,2.2077491,1.3402797,1.5914994,1.2595843,0.027209356,1.2157578,33.520332,0.5015358,-8.991733,-1.2293637,9.330387,1.6642028,-7.4189806,-2.1609929,0.0156032,1.813566,1.0580196,0.9818351,4.2447906,0.71476483,2.3095818,2.3270595,22.997187,0.35616484,457.59418,0.4048034,1277.5457,0.16447578,-84.75762,-1.1764178,1409.4225,0.16251269,974.9629,0.28875092,-89.73191,-1.0542912,2408.3071,0.1082736,831.9681,0.36818075,-95.79808,-0.9318706,-12.628181,-0.44811764,25.863485,0.27508882,0.09902355,0.25085413,-0.016599119,-0.92323136,0.039327856,0.87329936,44.3196,0.19718276,-11.749706,-0.9752733,11.041106,1.6137874,-9.977249,-1.7629751,-6.0265117,14.584898,0.07901057,-0.0019660324,0.012039667,2.690667,2.032414,0.26729283,0.23186618,0.2071161,0.33601302,-42.96702,7.0,313
0 days,0 days 00:07:52.958140590,23.82207,0.13719945,22.569946,23.7975,25.245485,2.675539,253.55266,343.80118,90.26102,257.2506,0.27105686,0.9050313,0.077470966,0.22103672,0.43497863,0.35750768,4.5180564,6.341173,2.66244,3.5108879,0.13566025,2.2366648,41.620754,0.38937336,-3.1826706,-4.1380987,9.61081,1.9085671,-0.913831,-16.319798,0.025571235,2.2522018,1.1998663,0.92299044,3.9233012,1.005567,7.094379,1.5701097,29.024424,0.3753023,494.39563,0.33173344,1354.0077,0.14640787,-70.50815,-1.2940953,1470.4216,0.16655402,1068.0569,0.27449337,-78.02327,-1.0966084,2474.6846,0.108868666,988.3766,0.3814219,-84.91301,-0.94844997,-17.068165,-0.45378125,29.546106,0.2690584,0.064764924,0.48579633,-0.02636659,-0.66486657,0.14248136,1.4255958,49.61803,0.17105639,-3.4690292,-3.911163,8.523064,2.3513937,0.19915129,78.086235,-11.253218,20.717575,0.05756909,-0.0062324163,0.13884929,0.5149723,2.1195872,0.27135998,0.26584074,0.14759,0.43655586,-29.65238,2.0,315
0 days,0 days 00:03:25.669795918,21.01102,0.103106834,19.646204,20.675133,22.034925,2.3887215,127.73336,194.11917,47.4048,101.162964,0.10590321,0.861685,0.028661452,0.07728484,0.17621085,0.14754939,1.9498795,1.3130132,1.6205862,1.1860985,0.024302296,1.7237365,32.23728,0.4979394,-8.599662,-1.4495428,12.858765,1.180311,-6.052947,-2.0859535,0.019020366,1.9866207,1.2841876,0.8706609,2.6963654,1.0758494,4.3752203,1.5591556,22.299726,0.33470201,432.96658,0.32733583,1265.4307,0.15389687,-105.13019,-0.93202084,1382.9698,0.14927188,964.19025,0.2500359,-110.19092,-0.8395939,2407.5623,0.08824699,860.9155,0.3112783,-114.10403,-0.7743579,-12.787236,-0.5047432,23.55992,0.3043111,0.08042334,0.29785332,-0.021792712,-0.6733529,0.037653856,1.3235024,44.266888,0.19191085,-11.69547,-1.1198125,15.845717,1.1063511,-8.9399605,-1.6744413,-7.202543,16.098259,0.06731721,-0.0029824933,0.013311948,2.7437985,2.5059724,0.17696498,0.13495396,0.20344488,0.33685616,-44.930336,6.0,316
0 days,0 days 00:04:02.316145125,23.040136,0.1750238,19.935602,22.203377,25.634195,5.698593,283.95746,474.64185,81.7541,216.72226,0.15641898,0.81681305,0.049030814,0.123763084,0.24694845,0.19791764,3.1527786,2.7553816,1.9058899,1.5827091,0.03918543,1.1202087,35.452946,0.45026863,-10.550203,-1.2887988,12.800156,1.2885453,-10.0703745,-1.2921277,0.022198474,2.26013,1.1674023,0.9150842,3.509512,0.9950014,0.97395146,6.619343,21.375511,0.3859304,514.9864,0.36659932,1323.6075,0.16624096,-81.676834,-1.201661,1514.5537,0.16764589,980.2728,0.32970065,-88.416306,-1.0364405,2534.2185,0.09899024,912.03625,0.43062434,-92.6852,-0.9493035,-13.774931,-0.51067257,24.651268,0.30863917,0.09823486,0.25564384,-0.02357698,-0.7049328,0.054810636,0.83575064,45.087715,0.20208183,-11.780971,-1.2176253,14.091692,1.3467892,-11.032084,-1.2061424,-6.0267534,13.785967,0.08167461,-0.006701424,0.017287008,2.655636,2.2508173,0.24860294,0.2199923,0.17799625,0.20415507,-41.14049,8.0,317
